test,date,snumber,sname,qnumber,qname1,qname2,example1,example2,example3,example4,answer,explain
"mock",000000,4,"프로그래밍언어활용",84,"파이썬에서 'open()' 함수의 'mode' 인자에 'r'을 지정하면 무엇을 할 수 있는가?","","①파일을 읽을 수 있다.","②파일을 쓸 수 있다.","③파일을 읽고 쓸 수 있다.","④파일을 삭제할 수 있다.","①파일을 읽을 수 있다.","'open()' 함수의 'mode='r''은 파일을 읽기 전용으로 엽니다."
"mock",000000,4,"프로그래밍언어활용",85,"C에서 'struct'와 'union'의 차이는 무엇인가?","","①'struct'는 메모리 공간을 공유하지 않는다.","②'union'은 각 멤버가 같은 메모리 공간을 공유한다.","③'union'은 메모리 크기를 최소화한다.","④'struct'는 메모리 크기를 최소화한다.","②'union'은 각 멤버가 같은 메모리 공간을 공유한다.","'union'은 각 멤버가 동일한 메모리 공간을 공유하므로 메모리 공간을 절약할 수 있습니다."
"mock",000000,4,"프로그래밍언어활용",86,"C++에서 'delete' 연산자는 무엇을 해제하는가?","","①동적 메모리 할당을 해제한다.","②함수의 반환값을 해제한다.","③객체의 멤버를 해제한다.","④변수의 값을 해제한다.","①동적 메모리 할당을 해제한다.","'delete'는 동적으로 할당된 메모리를 해제하는 데 사용됩니다."
"mock",000000,4,"프로그래밍언어활용",87,"자바에서 'final' 키워드는 무엇을 정의하는가?","","①변수, 메서드, 클래스가 변경되지 않음을 정의한다.","②변수, 메서드, 클래스가 상속될 수 있음을 정의한다.","③메서드의 반환값을 고정시킨다.","④클래스의 인스턴스를 생성할 수 없도록 한다.","①변수, 메서드, 클래스가 변경되지 않음을 정의한다.","'final' 키워드는 변수, 메서드, 클래스가 변경되지 않음을 의미합니다."
"mock",000000,4,"프로그래밍언어활용",88,"파이썬에서 'enumerate()' 함수는 무엇을 반환하는가?","","①인덱스와 값을 반환한다.","②값만 반환한다.","③인덱스만 반환한다.","④문자열을 반환한다.","①인덱스와 값을 반환한다.","'enumerate()'는 리스트나 튜플에서 인덱스와 값을 반환하는 함수입니다."
"mock",000000,4,"프로그래밍언어활용",89,"C에서 'sizeof' 연산자는 무엇을 반환하는가?","","①변수의 값","②데이터 타입의 크기","③함수의 크기","④배열의 크기","②데이터 타입의 크기","'sizeof'는 데이터 타입이나 변수의 크기를 바이트 단위로 반환합니다."
"mock",000000,4,"프로그래밍언어활용",90,"C++에서 'const_cast' 연산자는 무엇을 변환하는가?","","①변수의 주소를 변경한다.","②상수 포인터를 비상수 포인터로 변환한다.","③객체를 비동기적으로 변환한다.","④메모리 할당을 변경한다.","②상수 포인터를 비상수 포인터로 변환한다.","'const_cast'는 상수 포인터를 비상수 포인터로 변환할 때 사용됩니다."
"mock",000000,4,"프로그래밍언어활용",91,"자바에서 'this' 키워드는 무엇을 참조하는가?","","①현재 클래스의 객체","②부모 클래스의 객체","③상위 클래스의 객체","④생성자","①현재 클래스의 객체","'this'는 현재 클래스의 객체를 참조하는 키워드입니다."
"mock",000000,4,"프로그래밍언어활용",92,"파이썬에서 'is' 연산자는 무엇을 비교하는가?","","①값","②객체의 메모리 주소","③자료형","④문자열","②객체의 메모리 주소","'is' 연산자는 두 객체가 동일한 메모리 주소를 가리키는지 비교합니다."
"mock",000000,4,"프로그래밍언어활용",93,"C++에서 'new' 연산자의 역할은 무엇인가?","","①동적 메모리 할당","②동적 메모리 해제","③객체 생성","④변수 선언","①동적 메모리 할당","'new' 연산자는 동적으로 메모리를 할당하는 데 사용됩니다."
"mock",000000,4,"프로그래밍언어활용",94,"자바에서 'instanceof' 연산자는 무엇을 확인하는가?","","①객체가 특정 클래스의 인스턴스인지 확인한다.","②객체의 메서드 호출 가능 여부를 확인한다.","③객체의 변수 값을 출력한다.","④객체가 null인지 확인한다.","①객체가 특정 클래스의 인스턴스인지 확인한다.","'instanceof'는 객체가 특정 클래스의 인스턴스인지 확인하는 데 사용됩니다."
"mock",000000,4,"프로그래밍언어활용",95,"C에서 'malloc()' 함수는 무엇을 하는가?","","①동적 메모리 할당","②동적 메모리 해제","③파일을 연다.","④변수를 선언한다.","①동적 메모리 할당","'malloc()' 함수는 동적으로 메모리를 할당하는 함수입니다."
"mock",000000,4,"프로그래밍언어활용",96,"C++에서 'try-catch' 구문은 어떤 용도로 사용되는가?","","①예외 처리","②동기화 처리","③파일 입출력 처리","④포인터 연산 처리","①예외 처리","'try-catch' 구문은 예외 처리를 위해 사용됩니다."
"mock",000000,4,"프로그래밍언어활용",97,"자바에서 'default' 키워드는 무엇을 정의하는가?","","①메서드의 기본 구현","②변수를 기본값으로 초기화","③클래스의 기본 값","④인터페이스의 기본 메서드","①메서드의 기본 구현","'default'는 인터페이스에서 메서드의 기본 구현을 정의할 때 사용됩니다."
"mock",000000,4,"프로그래밍언어활용",98,"파이썬에서 'yield' 키워드는 무엇을 반환하는가?","","①함수의 실행 결과","②반복 가능한 객체","③함수의 종료","④예외 객체","②반복 가능한 객체","'yield'는 반복 가능한 객체를 반환하는 제너레이터 함수에서 사용됩니다."
"mock",000000,4,"프로그래밍언어활용",99,"C에서 'goto' 문은 무엇을 하는가?","","①특정 위치로 프로그램 흐름을 이동시킨다.","②함수의 호출을 반복한다.","③변수를 출력한다.","④조건문을 실행한다.","①특정 위치로 프로그램 흐름을 이동시킨다.","'goto'는 프로그램 흐름을 특정 위치로 이동시킬 때 사용되는 문입니다."
"mock",000000,4,"프로그래밍언어활용",100,"C++에서 'namespace'의 역할은 무엇인가?","","①변수의 범위를 제한한다.","②함수의 범위를 제한한다.","③클래스의 범위를 제한한다.","④코드의 충돌을 방지한다.","④코드의 충돌을 방지한다.","'namespace'는 코드의 충돌을 방지하기 위해 이름의 범위를 구분하는 데 사용됩니다."
